Title,Subject Description,Course Number,Section,Hours,CRN,Term,Instructor,Campus,Status,Schedule Type,Attribute
Intro To Info Security,Computer Science,6035,O01,3,84244,Fall 2026,"Lee, Wenke (Primary)",Online,"404 of 750 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Graduate Intro to OS,Computer Science,6200,O01,3,85340,Fall 2026,"Gavrilovska, Ada (Primary)",Online,"634 of 1150 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Adv Operating Systems,Computer Science,6210,O01,3,83927,Fall 2026,"Ramachandran, Umakishore (Primary)",Online,"109 of 475 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Sys Design Cloud Comput,Computer Science,6211,O01,3,89665,Fall 2026,"Ramachandran, Umakishore (Primary)",Online,"50 of 75 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Secure Computer Systems,Computer Science,6238,O01,3,86006,Fall 2026,"Ahamad, Mustaque (Primary)",Online,"89 of 100 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Computer Networks,Computer Science,6250,O01,3,83928,Fall 2026,"Konte, Maria (Primary)",Online,"29 of 700 seats remain.
790 of 999 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Applied Cryptography,Computer Science,6260,O01,3,87076,Fall 2026,"Boldyreva, Alexandra (Primary)",Online,"131 of 150 seats remain.
100 of 100 waitlist seats remain.",Lecture*,
Cyber Incident Response,Computer Science,6261,O01,3,91357,Fall 2026,"Lummis, Jimmy (Primary)",Online,"3 of 50 seats remain.
6 of 100 waitlist seats remain.Open Seats Reserved for Waitlisted Only.",Lecture*,
Network Security,Computer Science,6262,O01,3,84604,Fall 2026,"Lee, Wenke (Primary)",Online,"168 of 300 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
Intro Cyber Phys Sys Sec,Computer Science,6263,O01,3,85399,Fall 2026,"Zonouz, Saman (Primary)",Online,"184 of 225 seats remain.
999 of 999 waitlist seats remain.",Lecture*,
