Course,Code(s),Rating,Difficulty,Workload,Reviews
Course nameMachine LearningReviews URLReviewsGATech URLGT Official,CS-7641,3.13,4.15,22.45,530
Course nameIntroduction to Graduate AlgorithmsReviews URLReviewsGATech URLGT Official,CS-6515,3.27,4.05,19.24,523
Course nameComputer NetworksReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,CS-6250,3.47,2.42,8.91,509
Course nameIntroduction to Information SecurityReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,CS-6035,3.44,2.58,10.7,495
Course nameMachine Learning for TradingReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,CS-7646,3.86,2.66,12.16,486
Course nameGraduate Introduction to Operating SystemsReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,CS-6200,4.39,3.69,18.48,385
Course nameSoftware Development ProcessReviews URLReviewsGATech URLGT Official,CS-6300,3.55,2.31,9.07,377
Course nameKnowledge-Based AIReviews URLReviewsGATech URLGT Official,CS-7637,3.5,3.05,14.13,374
Course nameArtificial Intelligence Techniques for RoboticsReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,CS-7638,3.98,2.98,12.87,341
Course nameArtificial IntelligenceReviews URLReviewsGATech URLGT Official,CS-6601,4.03,4.07,22.32,322
Course nameData and Visual AnalyticsReviews URLReviewsGATech URLGT Official,CSE-6242,2.87,3.21,15.84,304
Course nameHuman-Computer InteractionReviews URLReviewsGATech URLGT Official,CS-6750,4.04,2.57,12.21,302
Course nameDatabase Systems Concepts and DesignReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,CS-6400,2.61,2.88,11.41,280
Course nameReinforcement Learning and Decision MakingReviews URLReviewsGATech URLGT Official,CS-7642,3.84,4.21,22.38,231
Course nameSoftware Architecture and DesignReviews URLReviewsGATech URLGT Official,CS-6310,2.94,2.61,11.87,225
Course nameIntroduction to Computer VisionReviews URLReviewsGATech URLGT Official,CS-6476,3.72,4.09,21.72,214
Course nameComputational PhotographyReviews URLReviewsGATech URLGT Official,CS-6475,3.56,3.24,16.92,189
Course nameIntroduction to Analytics ModelingReviews URLReviewsGATech URLGT Official,ISYE-6501,4.1,2.84,9.99,185
Course nameAdvanced Topics in Software Analysis and TestingReviews URLReviewsGATech URLGT Official,CS-6340,3.55,3.19,12.73,165
Course nameHigh-Performance Computer ArchitectureReviews URLReviewsGATech URLGT Official,CS-6290,3.82,3.59,15.05,150
Course nameNetwork SecurityReviews URLReviewsGATech URLGT Official,CS-6262,3.14,2.99,12.82,145
Course nameAdvanced Operating SystemsReviews URLReviewsGATech URLGT Official,CS-6210,4.01,4.14,17.17,143
"Course nameAI, Ethics, and SocietyReviews URLReviewsGATech URLGT Official",CS-6603,2.61,1.56,6.6,133
Course nameData Analytics in BusinessReviews URLReviews,MGT-6203,2.37,1.92,5.7,131
Course nameComputing for Data Analysis: Methods and ToolsReviews URLReviews,CSE-6040,4.33,3.16,10.18,129
Course nameIntroduction to Health InformaticsReviews URLReviewsGATech URLGT Official,CS-6440,2.73,2.25,10.21,125
Course nameSimulationReviews URLReviewsGATech URLGT OfficialOMSCSNotes URLLecture Notes,ISYE-6644,4.26,3.31,11.4,124
Course nameStatistical Modeling and Regression AnalysisReviews URLReviews,ISYE-6414,3.09,2.88,9.45,123
Course nameDeep LearningReviews URLReviewsGATech URLGT Official,CS-7643,4.04,4.07,19.25,122
